Time (UTCG),x (km),y (km),z (km),vx (km/sec),vy (km/sec),vz (km/sec)
773251200,-3110.137934,5809.563719,2295.736792,-4.772331,-3.958102,3.551035
773251201,-3114.908737,5805.602573,2299.286479,-4.769274,-3.964188,3.54834
773251202,-3119.67648,5801.635343,2302.83347,-4.766212,-3.97027,3.545641
773251203,-3124.44116,5797.662034,2306.377759,-4.763146,-3.976348,3.542937
773251204,-3129.20277,5793.682649,2309.919343,-4.760075,-3.982421,3.54023
773251205,-3133.961308,5789.697193,2313.458217,-4.756999,-3.98849,3.537518
773251206,-3138.716767,5785.70567,2316.994378,-4.753919,-3.994555,3.534802
773251207,-3143.469144,5781.708084,2320.52782,-4.750834,-4.000616,3.532082
773251208,-3148.218434,5777.704439,2324.05854,-4.747744,-4.006673,3.529358
773251209,-3152.964631,5773.69474,2327.586534,-4.74465,-4.012725,3.526629
773251210,-3157.707732,5769.678991,2331.111798,-4.741551,-4.018773,3.523897
773251211,-3162.447732,5765.657195,2334.634327,-4.738447,-4.024817,3.52116
773251212,-3167.184626,5761.629358,2338.154117,-4.735339,-4.030857,3.51842
773251213,-3171.918409,5757.595484,2341.671165,-4.732226,-4.036892,3.515675
773251214,-3176.649077,5753.555576,2345.185465,-4.729109,-4.042923,3.512926
773251215,-3181.376625,5749.509639,2348.697015,-4.725987,-4.04895,3.510173
773251216,-3186.101048,5745.457678,2352.20581,-4.72286,-4.054972,3.507416
773251217,-3190.822343,5741.399696,2355.711845,-4.719728,-4.060991,3.504654
773251218,-3195.540504,5737.335698,2359.215117,-4.716592,-4.067005,3.501889
773251219,-3200.255526,5733.265688,2362.715621,-4.713451,-4.073014,3.499119
773251220,-3204.967405,5729.189671,2366.213354,-4.710306,-4.07902,3.496346
773251221,-3209.676137,5725.107651,2369.708311,-4.707156,-4.085021,3.493568
773251222,-3214.381716,5721.019631,2373.200488,-4.704002,-4.091017,3.490786
773251223,-3219.084138,5716.925617,2376.689881,-4.700842,-4.09701,3.488
773251224,-3223.783399,5712.825613,2380.176487,-4.697678,-4.102998,3.48521
773251225,-3228.479493,5708.719622,2383.6603,-4.69451,-4.108982,3.482416
773251226,-3233.172417,5704.60765,2387.141317,-4.691337,-4.114961,3.479618
773251227,-3237.862166,5700.489701,2390.619534,-4.688159,-4.120937,3.476815
773251228,-3242.548734,5696.365779,2394.094946,-4.684977,-4.126907,3.474009
773251229,-3247.232118,5692.235888,2397.56755,-4.68179,-4.132874,3.471199
773251230,-3251.912313,5688.100033,2401.037342,-4.678599,-4.138836,3.468384
773251231,-3256.589314,5683.958218,2404.504317,-4.675403,-4.144793,3.465565
773251232,-3261.263116,5679.810447,2407.968471,-4.672202,-4.150747,3.462743
773251233,-3265.933716,5675.656726,2411.429801,-4.668997,-4.156696,3.459916
773251234,-3270.601108,5671.497057,2414.888302,-4.665787,-4.16264,3.457085
773251235,-3275.265288,5667.331446,2418.34397,-4.662572,-4.16858,3.45425
773251236,-3279.926252,5663.159898,2421.796802,-4.659353,-4.174516,3.451412
773251237,-3284.583994,5658.982415,2425.246792,-4.65613,-4.180448,3.448569
773251238,-3289.23851,5654.799004,2428.693937,-4.652902,-4.186375,3.445722
773251239,-3293.889795,5650.609668,2432.138234,-4.649669,-4.192297,3.442871
773251240,-3298.537846,5646.414411,2435.579677,-4.646432,-4.198215,3.440016
773251241,-3303.182657,5642.213239,2439.018264,-4.64319,-4.204129,3.437156
773251242,-3307.824224,5638.006155,2442.453989,-4.639943,-4.210038,3.434293
773251243,-3312.462543,5633.793164,2445.886849,-4.636693,-4.215943,3.431426
773251244,-3317.097608,5629.57427,2449.31684,-4.633437,-4.221843,3.428555
773251245,-3321.729416,5625.349479,2452.743958,-4.630177,-4.227739,3.42568
773251246,-3326.35796,5621.118794,2456.168198,-4.626912,-4.233631,3.422801
773251247,-3330.983239,5616.882219,2459.589558,-4.623643,-4.239518,3.419917
773251248,-3335.605245,5612.63976,2463.008032,-4.62037,-4.2454,3.41703
773251249,-3340.223976,5608.39142,2466.423617,-4.617091,-4.251278,3.414139
773251250,-3344.839426,5604.137205,2469.836308,-4.613809,-4.257152,3.411244
773251251,-3349.451592,5599.877118,2473.246102,-4.610521,-4.263021,3.408344
773251252,-3354.060467,5595.611165,2476.652996,-4.607229,-4.268885,3.405441
773251253,-3358.666049,5591.339349,2480.056983,-4.603933,-4.274745,3.402534
773251254,-3363.268332,5587.061676,2483.458062,-4.600632,-4.280601,3.399623
773251255,-3367.867312,5582.778149,2486.856227,-4.597327,-4.286452,3.396707
773251256,-3372.462984,5578.488774,2490.251475,-4.594017,-4.292298,3.393788
773251257,-3377.055344,5574.193554,2493.643802,-4.590702,-4.29814,3.390865
773251258,-3381.644388,5569.892495,2497.033204,-4.587384,-4.303978,3.387938
773251259,-3386.23011,5565.5856,2500.419676,-4.58406,-4.309811,3.385007
773251260,-3390.812506,5561.272875,2503.803216,-4.580732,-4.315639,3.382072
773251261,-3395.391573,5556.954324,2507.183818,-4.5774,-4.321463,3.379132
773251262,-3399.967304,5552.629951,2510.561479,-4.574063,-4.327282,3.376189
773251263,-3404.539697,5548.299762,2513.936195,-4.570721,-4.333097,3.373242
773251264,-3409.108746,5543.96376,2517.307963,-4.567375,-4.338907,3.370291
773251265,-3413.674446,5539.62195,2520.676777,-4.564025,-4.344712,3.367336
773251266,-3418.236794,5535.274337,2524.042634,-4.56067,-4.350513,3.364378
773251267,-3422.795785,5530.920926,2527.405531,-4.557311,-4.356309,3.361415
773251268,-3427.351415,5526.56172,2530.765462,-4.553947,-4.362101,3.358448
773251269,-3431.903678,5522.196725,2534.122425,-4.550579,-4.367888,3.355477
773251270,-3436.452571,5517.825945,2537.476416,-4.547206,-4.373671,3.352503
773251271,-3440.998088,5513.449385,2540.827429,-4.543829,-4.379449,3.349524
773251272,-3445.540226,5509.067049,2544.175463,-4.540447,-4.385222,3.346542
773251273,-3450.078981,5504.678943,2547.520511,-4.537061,-4.390991,3.343555
773251274,-3454.614346,5500.28507,2550.862572,-4.53367,-4.396755,3.340565
773251275,-3459.146319,5495.885435,2554.20164,-4.530275,-4.402514,3.337571
773251276,-3463.674895,5491.480043,2557.537711,-4.526876,-4.408269,3.334572
773251277,-3468.200069,5487.068899,2560.870783,-4.523472,-4.414019,3.33157
773251278,-3472.721837,5482.652007,2564.200851,-4.520063,-4.419764,3.328564
773251279,-3477.240194,5478.229372,2567.52791,-4.51665,-4.425505,3.325554
773251280,-3481.755136,5473.800999,2570.851958,-4.513233,-4.431241,3.322541
773251281,-3486.266658,5469.366892,2574.17299,-4.509811,-4.436972,3.319523
773251282,-3490.774757,5464.927055,2577.491002,-4.506385,-4.442699,3.316501
773251283,-3495.279427,5460.481495,2580.805991,-4.502954,-4.448421,3.313476
773251284,-3499.780664,5456.030214,2584.117953,-4.499519,-4.454139,3.310446
773251285,-3504.278464,5451.573219,2587.426883,-4.49608,-4.459851,3.307413
773251286,-3508.772823,5447.110513,2590.732778,-4.492636,-4.465559,3.304376
773251287,-3513.263735,5442.642102,2594.035633,-4.489188,-4.471262,3.301335
773251288,-3517.751197,5438.16799,2597.335446,-4.485735,-4.476961,3.29829
773251289,-3522.235204,5433.688182,2600.632212,-4.482278,-4.482655,3.295241
773251290,-3526.715751,5429.202682,2603.925928,-4.478817,-4.488344,3.292189
773251291,-3531.192835,5424.711496,2607.216588,-4.475351,-4.494028,3.289132
773251292,-3535.666451,5420.214627,2610.504191,-4.47188,-4.499708,3.286072
773251293,-3540.136595,5415.712082,2613.788731,-4.468406,-4.505383,3.283008
773251294,-3544.603261,5411.203864,2617.070205,-4.464927,-4.511053,3.27994
773251295,-3549.066446,5406.689978,2620.348609,-4.461443,-4.516718,3.276868
773251296,-3553.526146,5402.170429,2623.623939,-4.457955,-4.522379,3.273792
773251297,-3557.982356,5397.645222,2626.896191,-4.454463,-4.528034,3.270712
773251298,-3562.435071,5393.114362,2630.165362,-4.450966,-4.533685,3.267629
773251299,-3566.884287,5388.577853,2633.431448,-4.447465,-4.539332,3.264542
773251300,-3571.33,5384.035701,2636.694445,-4.44396,-4.544973,3.261451
773251301,-3575.772206,5379.487909,2639.954348,-4.44045,-4.55061,3.258356
773251302,-3580.2109,5374.934483,2643.211155,-4.436936,-4.556241,3.255257
773251303,-3584.646077,5370.375428,2646.464861,-4.433418,-4.561869,3.252154
773251304,-3589.077734,5365.810748,2649.715462,-4.429895,-4.567491,3.249048
773251305,-3593.505866,5361.240448,2652.962956,-4.426368,-4.573108,3.245938
773251306,-3597.930468,5356.664533,2656.207337,-4.422836,-4.578721,3.242824
773251307,-3602.351537,5352.083008,2659.448602,-4.419301,-4.584328,3.239706
773251308,-3606.769068,5347.495878,2662.686748,-4.41576,-4.589931,3.236585
773251309,-3611.183057,5342.903147,2665.92177,-4.412216,-4.595529,3.233459
773251310,-3615.593498,5338.304821,2669.153665,-4.408667,-4.601123,3.23033
773251311,-3620.000389,5333.700903,2672.382429,-4.405114,-4.606711,3.227197
773251312,-3624.403725,5329.0914,2675.608058,-4.401556,-4.612294,3.22406
773251313,-3628.8035,5324.476316,2678.830548,-4.397994,-4.617873,3.22092
773251314,-3633.199712,5319.855656,2682.049896,-4.394428,-4.623447,3.217775
773251315,-3637.592355,5315.229424,2685.266098,-4.390858,-4.629016,3.214627
773251316,-3641.981426,5310.597626,2688.47915,-4.387283,-4.63458,3.211476
773251317,-3646.36692,5305.960266,2691.689048,-4.383704,-4.640139,3.20832
773251318,-3650.748832,5301.31735,2694.895788,-4.38012,-4.645693,3.205161
773251319,-3655.127159,5296.668882,2698.099368,-4.376533,-4.651242,3.201997
773251320,-3659.501896,5292.014867,2701.299782,-4.372941,-4.656787,3.19883
773251321,-3663.873039,5287.35531,2704.497027,-4.369344,-4.662326,3.19566
773251322,-3668.240583,5282.690216,2707.6911,-4.365744,-4.667861,3.192485
773251323,-3672.604525,5278.01959,2710.881997,-4.362139,-4.67339,3.189307
773251324,-3676.964859,5273.343437,2714.069713,-4.358529,-4.678915,3.186125
773251325,-3681.321582,5268.661762,2717.254246,-4.354916,-4.684435,3.18294
773251326,-3685.674689,5263.974569,2720.435592,-4.351298,-4.68995,3.17975
773251327,-3690.024177,5259.281864,2723.613746,-4.347676,-4.69546,3.176557
773251328,-3694.37004,5254.583652,2726.788705,-4.34405,-4.700964,3.17336
773251329,-3698.712275,5249.879937,2729.960465,-4.340419,-4.706464,3.17016
773251330,-3703.050877,5245.170725,2733.129023,-4.336784,-4.711959,3.166956
773251331,-3707.385842,5240.45602,2736.294375,-4.333145,-4.717449,3.163748
773251332,-3711.717166,5235.735828,2739.456518,-4.329502,-4.722934,3.160536
773251333,-3716.044845,5231.010153,2742.615446,-4.325854,-4.728415,3.157321
773251334,-3720.368873,5226.279,2745.771157,-4.322202,-4.73389,3.154102
773251335,-3724.689248,5221.542375,2748.923648,-4.318546,-4.73936,3.150879
773251336,-3729.005964,5216.800283,2752.072914,-4.314886,-4.744825,3.147652
773251337,-3733.319018,5212.052727,2755.218951,-4.311221,-4.750285,3.144422
773251338,-3737.628405,5207.299715,2758.361757,-4.307552,-4.75574,3.141188
773251339,-3741.934121,5202.541249,2761.501326,-4.303879,-4.76119,3.137951
773251340,-3746.236162,5197.777336,2764.637656,-4.300202,-4.766635,3.134709
773251341,-3750.534523,5193.007981,2767.770744,-4.29652,-4.772075,3.131464
773251342,-3754.829201,5188.233188,2770.900584,-4.292834,-4.77751,3.128216
773251343,-3759.120191,5183.452963,2774.027174,-4.289144,-4.78294,3.124964
773251344,-3763.407488,5178.66731,2777.15051,-4.28545,-4.788365,3.121708
773251345,-3767.69109,5173.876235,2780.270588,-4.281752,-4.793784,3.118448
773251346,-3771.97099,5169.079743,2783.387405,-4.278049,-4.799199,3.115185
773251347,-3776.247186,5164.277839,2786.500957,-4.274342,-4.804609,3.111918
773251348,-3780.519674,5159.470527,2789.61124,-4.270631,-4.810014,3.108647
773251349,-3784.788447,5154.657813,2792.71825,-4.266916,-4.815413,3.105373
773251350,-3789.053504,5149.839703,2795.821985,-4.263196,-4.820808,3.102095
773251351,-3793.314839,5145.0162,2798.92244,-4.259473,-4.826197,3.098814
773251352,-3797.572448,5140.187311,2802.019611,-4.255745,-4.831581,3.095529
773251353,-3801.826328,5135.353039,2805.113496,-4.252013,-4.83696,3.09224
773251354,-3806.076473,5130.513392,2808.20409,-4.248277,-4.842334,3.088948
773251355,-3810.32288,5125.668372,2811.29139,-4.244536,-4.847703,3.085652
773251356,-3814.565544,5120.817987,2814.375392,-4.240792,-4.853067,3.082352
773251357,-3818.804462,5115.962239,2817.456093,-4.237043,-4.858426,3.079049
773251358,-3823.039629,5111.101136,2820.533489,-4.23329,-4.86378,3.075742
773251359,-3827.271041,5106.234682,2823.607576,-4.229533,-4.869128,3.072432
773251360,-3831.498694,5101.362882,2826.67835,-4.225772,-4.874471,3.069117
773251361,-3835.722584,5096.485741,2829.745809,-4.222007,-4.87981,3.0658
773251362,-3839.942706,5091.603264,2832.809949,-4.218237,-4.885143,3.062479
773251363,-3844.159057,5086.715457,2835.870765,-4.214463,-4.890471,3.059154
773251364,-3848.371631,5081.822325,2838.928255,-4.210686,-4.895793,3.055825
773251365,-3852.580426,5076.923872,2841.982414,-4.206904,-4.901111,3.052493
773251366,-3856.785437,5072.020105,2845.03324,-4.203118,-4.906423,3.049158
773251367,-3860.98666,5067.111028,2848.080728,-4.199327,-4.91173,3.045818
773251368,-3865.184091,5062.196646,2851.124876,-4.195533,-4.917033,3.042476
773251369,-3869.377725,5057.276964,2854.165679,-4.191734,-4.922329,3.039129
773251370,-3873.567558,5052.351989,2857.203133,-4.187932,-4.927621,3.03578
773251371,-3877.753587,5047.421724,2860.237237,-4.184125,-4.932907,3.032426
773251372,-3881.935807,5042.486175,2863.267984,-4.180314,-4.938189,3.029069
773251373,-3886.114214,5037.545348,2866.295374,-4.176499,-4.943465,3.025709
773251374,-3890.288805,5032.599248,2869.3194,-4.17268,-4.948736,3.022344
773251375,-3894.459574,5027.647879,2872.340061,-4.168857,-4.954001,3.018977
773251376,-3898.626518,5022.691247,2875.357353,-4.16503,-4.959262,3.015606
773251377,-3902.789632,5017.729357,2878.371271,-4.161199,-4.964517,3.012231
773251378,-3906.948913,5012.762215,2881.381813,-4.157363,-4.969767,3.008853
